Year,violations,total_days,violation_rate,expected_rate,violation_rate_pct
2017,18,235,0.07659574468085106,0.05,7.659574468085106
2018,11,244,0.045081967213114756,0.05,4.508196721311475
2019,8,246,0.032520325203252036,0.05,3.2520325203252036
2020,18,248,0.07258064516129033,0.05,7.258064516129033
2021,11,248,0.04435483870967742,0.05,4.435483870967742
2022,13,244,0.05327868852459016,0.05,5.327868852459016
2023,12,245,0.04897959183673469,0.05,4.8979591836734695
2024,25,244,0.10245901639344263,0.05,10.245901639344263
2025,11,241,0.04564315352697095,0.05,4.564315352697095
2026,2,35,0.05714285714285714,0.05,5.714285714285714
